"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 22:14:00,341,8.11,89.8,7.71,98.49,0,0
2014-11-11 22:15:00,342,8.1,89.8,7.71,98.49,0,0
2014-11-11 22:16:00,343,8.14,89.9,7.76,98.68,0,0
2014-11-11 22:17:00,344,8.2,90,7.89,98.68,0,0
2014-11-11 22:18:00,345,8.15,89.9,7.79,98.68,0,0
2014-11-11 22:19:00,346,8.01,89.6,7.7,98.49,0,0
2014-11-11 22:20:00,347,7.951,89.6,7.66,98.49,0,0
2014-11-11 22:21:00,348,8.04,89.9,7.68,98.49,0,0
2014-11-11 22:22:00,349,8.06,89.9,7.64,98.49,0,0
2014-11-11 22:23:00,350,8.11,90,7.66,98.49,0,0
2014-11-11 22:24:00,351,8.11,90,7.64,98.49,0,0
2014-11-11 22:25:00,352,8.12,90.1,7.6,98.49,0,0
2014-11-11 22:26:00,353,8.08,90,7.6,98.49,0,0
2014-11-11 22:27:00,354,8.04,90,7.58,98.59,0,0
2014-11-11 22:28:00,355,8.03,90,7.6,98.59,0,0
2014-11-11 22:29:00,356,8.02,90.1,7.62,98.68,0,0
2014-11-11 22:30:00,357,8.06,90.2,7.6,98.68,0,0
2014-11-11 22:31:00,358,8.06,90.2,7.58,98.78,0,0
2014-11-11 22:32:00,359,8.18,90.4,7.74,98.87,0,0
2014-11-11 22:33:00,360,8.1,90.2,7.66,98.78,0,0
2014-11-11 22:34:00,361,8.04,90.1,7.61,98.78,0,0
2014-11-11 22:35:00,362,8.02,90.1,7.56,98.68,0,0
2014-11-11 22:36:00,363,8,90.1,7.53,98.68,0,0
2014-11-11 22:37:00,364,7.941,90,7.43,98.59,0,0
2014-11-11 22:38:00,365,8.05,90.2,7.64,98.87,0,0
2014-11-11 22:39:00,366,8.04,90.2,7.62,98.87,0,0
2014-11-11 22:40:00,367,8.07,90.2,7.67,98.87,0,0
2014-11-11 22:41:00,368,8.01,90.1,7.59,98.87,0,0
2014-11-11 22:42:00,369,8,90.1,7.56,98.78,0,0
2014-11-11 22:43:00,370,7.941,90.1,7.39,98.59,0,0
2014-11-11 22:44:00,371,8,90.2,7.54,98.78,0,0
2014-11-11 22:45:00,372,7.992,90.2,7.49,98.78,0,0
2014-11-11 22:46:00,373,7.961,90.2,7.44,98.78,0,0
2014-11-11 22:47:00,374,7.981,90.2,7.51,98.87,0,0
2014-11-11 22:48:00,375,8.03,90.3,7.58,98.97,0,0
2014-11-11 22:49:00,376,8.04,90.3,7.62,98.97,0,0
2014-11-11 22:50:00,377,8.06,90.3,7.59,98.97,0,0
2014-11-11 22:51:00,378,8.12,90.4,7.73,99.06,0,0
2014-11-11 22:52:00,379,8.22,90.5,7.87,99.16,0,0
